study_id,intervention_name,condition,sponsor,start_date,end_date,phase,status,completeness_score,study_duration_days
NCT100000,Aspirin,Covid-19,Sanofi,2022-09-20,2025-04-07,Phase 2,Withdrawn,1.0,930.0
NCT100001,Trastuzumab,Alzheimer'S Disease,Pfizer,2023-07-01,2024-09-05,,Terminated,0.875,432.0
NCT100002,Donepezil,Hypertension,Pfizer,2021-08-17,2025-05-24,Phase 1,Completed,1.0,1376.0
NCT100003,Remdesivir,Breast Cancer,Sanofi,2022-04-15,2025-05-20,Phase 1,Terminated,1.0,1131.0
NCT100004,Aspirin,Breast Cancer,Pfizer,2023-09-10,2024-08-28,Phase 4,Completed,1.0,353.0
NCT100005,Donepezil,Covid-19,Moderna,2021-10-08,2025-07-25,Phase 1,Withdrawn,1.0,1386.0
NCT100006,Salbutamol,Covid-19,Astrazeneca,2020-09-19,2025-04-08,Phase 4,Withdrawn,1.0,1662.0
NCT100007,Metformin,Asthma,Moderna,2023-12-13,2025-03-31,Phase 1,Withdrawn,1.0,474.0
NCT100008,Remdesivir,Alzheimer'S Disease,Astrazeneca,2023-05-17,2025-07-29,Phase 2,Recruiting,1.0,804.0
NCT100009,Salbutamol,Breast Cancer,Moderna,2021-06-17,2025-06-29,Phase 3,Withdrawn,1.0,1473.0
NCT100010,Remdesivir,Breast Cancer,Gsk,2023-03-11,2025-02-17,,Terminated,0.875,709.0
NCT100011,Aspirin,Alzheimer'S Disease,Moderna,2022-02-18,,Phase 3,Withdrawn,0.875,
NCT100012,Remdesivir,Diabetes,Moderna,2022-05-31,,Phase 3,Withdrawn,0.875,
NCT100013,Donepezil,Hypertension,Astrazeneca,2022-08-01,2025-07-23,Phase 3,Recruiting,1.0,1087.0
NCT100014,,Hypertension,Novartis,2023-12-13,,Phase 4,Withdrawn,0.75,
NCT100015,Aspirin,Alzheimer'S Disease,Pfizer,2023-03-08,2025-04-18,,Withdrawn,0.875,772.0
NCT100016,Aspirin,Diabetes,Moderna,2023-05-19,,Phase 2,Recruiting,0.875,
NCT100017,Remdesivir,Covid-19,Gsk,2022-02-14,2024-11-09,Phase 2,Terminated,1.0,999.0
NCT100018,Salbutamol,Asthma,Pfizer,2021-11-03,2024-10-15,Phase 4,Completed,1.0,1077.0
NCT100019,Metformin,Alzheimer'S Disease,Pfizer,2021-10-08,2025-06-08,Phase 4,Completed,1.0,1339.0
NCT100020,Donepezil,Alzheimer'S Disease,Pfizer,2021-08-08,2024-11-26,Phase 3,Completed,1.0,1206.0
NCT100021,Remdesivir,Diabetes,Gsk,2022-04-12,2024-08-28,Phase 2,Completed,1.0,869.0
NCT100022,Donepezil,Alzheimer'S Disease,Gsk,2024-04-12,2024-08-09,,Recruiting,0.875,119.0
NCT100023,Remdesivir,Hypertension,Pfizer,2021-06-23,2025-06-26,Phase 1,Recruiting,1.0,1464.0
NCT100024,Metformin,Asthma,Sanofi,2022-03-22,2025-06-08,,Terminated,0.875,1174.0
NCT100025,Metformin,Asthma,Moderna,2024-02-14,2024-10-31,Phase 4,Withdrawn,1.0,260.0
NCT100026,Aspirin,Asthma,Gsk,2022-07-26,2024-12-28,Phase 1,Completed,1.0,886.0
NCT100027,Donepezil,Asthma,Novartis,2020-10-14,,Phase 2,Completed,0.875,
NCT100028,Trastuzumab,Covid-19,Pfizer,2023-07-26,2025-07-21,Phase 2,Completed,1.0,726.0
NCT100029,Aspirin,Asthma,Astrazeneca,2020-12-17,2024-10-02,Phase 3,Completed,1.0,1385.0
NCT100030,Trastuzumab,Asthma,Gsk,2022-02-27,2024-12-16,Phase 1,Withdrawn,1.0,1023.0
NCT100031,Aspirin,Covid-19,Novartis,2020-12-02,2024-09-26,,Terminated,0.875,1394.0
NCT100032,Salbutamol,Alzheimer'S Disease,Novartis,2020-12-27,2025-02-09,Phase 2,Terminated,1.0,1505.0
NCT100033,Metformin,,Novartis,2020-12-15,2025-04-12,Phase 1,Recruiting,0.875,1579.0
NCT100034,Salbutamol,Covid-19,Pfizer,2021-09-25,2025-01-17,Phase 3,Completed,1.0,1210.0
NCT100035,Remdesivir,Diabetes,Sanofi,2023-08-28,2024-11-14,Phase 2,Terminated,1.0,444.0
NCT100036,Aspirin,Covid-19,Sanofi,2022-05-15,2025-05-18,Phase 4,Recruiting,1.0,1099.0
NCT100037,Metformin,Covid-19,Novartis,2022-08-14,,Phase 4,Withdrawn,0.875,
NCT100038,Aspirin,Diabetes,Novartis,2020-11-06,2025-01-08,Phase 2,Recruiting,1.0,1524.0
NCT100039,Donepezil,Alzheimer'S Disease,Pfizer,2021-03-10,2024-09-18,Phase 2,Withdrawn,1.0,1288.0
NCT100040,Salbutamol,Breast Cancer,Moderna,2022-04-05,2024-12-12,Phase 4,Completed,1.0,982.0
NCT100041,Donepezil,Hypertension,Astrazeneca,2021-09-14,2025-05-01,Phase 2,Terminated,1.0,1325.0
NCT100042,Trastuzumab,Diabetes,Sanofi,2021-02-27,2024-09-25,Phase 1,Recruiting,1.0,1306.0
NCT100043,Metformin,Diabetes,Sanofi,2022-02-27,2024-09-04,Phase 4,Recruiting,1.0,920.0
NCT100044,Aspirin,Diabetes,Astrazeneca,2021-10-04,2024-08-31,Phase 1,Withdrawn,1.0,1062.0
NCT100045,Salbutamol,Diabetes,Sanofi,2023-04-07,2024-09-26,Phase 3,Completed,1.0,538.0
NCT100046,Aspirin,Hypertension,Gsk,2022-12-21,2024-12-23,Phase 3,Completed,1.0,733.0
NCT100047,Salbutamol,Alzheimer'S Disease,Sanofi,2020-11-14,2024-12-17,Phase 4,Recruiting,1.0,1494.0
NCT100048,Remdesivir,Asthma,Pfizer,2020-11-26,2025-01-31,Phase 1,Terminated,1.0,1527.0
NCT100049,Metformin,Diabetes,Sanofi,2022-04-18,2025-07-21,Phase 1,Completed,1.0,1190.0
NCT100050,Remdesivir,Asthma,Pfizer,2024-03-10,2024-12-28,Phase 3,Terminated,1.0,293.0
NCT100051,Metformin,Hypertension,Moderna,2022-03-03,2025-04-23,,Recruiting,0.875,1147.0
NCT100052,Metformin,Alzheimer'S Disease,Moderna,2020-11-25,2025-03-23,Phase 2,Terminated,1.0,1579.0
NCT100053,,Asthma,Moderna,2024-06-01,2025-04-10,Phase 3,Recruiting,0.875,313.0
NCT100054,Remdesivir,Hypertension,Moderna,2023-10-06,2025-04-22,,Terminated,0.875,564.0
NCT100055,Remdesivir,Hypertension,Pfizer,2022-09-15,2024-09-11,Phase 1,Terminated,1.0,727.0
NCT100056,Remdesivir,Covid-19,Novartis,2022-02-24,2024-12-23,,Terminated,0.875,1033.0
NCT100057,Remdesivir,Covid-19,Moderna,2022-08-26,2024-11-27,,Recruiting,0.875,824.0
NCT100058,Remdesivir,Covid-19,Gsk,2020-08-07,2025-03-21,Phase 4,Completed,1.0,1687.0
NCT100059,Metformin,Alzheimer'S Disease,Moderna,2021-08-10,2025-06-02,Phase 3,Recruiting,1.0,1392.0
NCT100060,Donepezil,Alzheimer'S Disease,Gsk,2021-05-11,2024-11-13,Phase 1,Recruiting,1.0,1282.0
NCT100061,Salbutamol,Hypertension,Pfizer,2024-01-19,2024-09-10,,Terminated,0.875,235.0
NCT100062,Donepezil,Alzheimer'S Disease,Gsk,2023-08-05,2025-03-31,Phase 2,Terminated,1.0,604.0
NCT100063,Trastuzumab,Hypertension,Pfizer,2023-06-29,2025-01-25,Phase 4,Recruiting,1.0,576.0
NCT100064,Aspirin,Alzheimer'S Disease,Novartis,2021-04-30,2024-09-03,Phase 2,Withdrawn,1.0,1222.0
NCT100065,Metformin,Asthma,Pfizer,2023-02-20,,Phase 2,Recruiting,0.875,
NCT100066,Donepezil,Asthma,Pfizer,2022-12-07,2025-07-27,Phase 1,Recruiting,1.0,963.0
NCT100067,Donepezil,Alzheimer'S Disease,Sanofi,2023-08-05,2024-10-04,Phase 4,Withdrawn,1.0,426.0
NCT100068,Donepezil,Covid-19,Moderna,2023-04-06,2025-04-17,Phase 1,Completed,1.0,742.0
NCT100069,Aspirin,Alzheimer'S Disease,Sanofi,2023-02-11,2025-05-24,Phase 1,Terminated,1.0,833.0
NCT100070,Salbutamol,Covid-19,Sanofi,2020-11-29,2024-08-28,Phase 3,Withdrawn,1.0,1368.0
NCT100071,Salbutamol,Asthma,Sanofi,2020-10-30,2024-09-09,Phase 4,Withdrawn,1.0,1410.0
NCT100072,Salbutamol,Hypertension,Sanofi,2023-01-01,2025-06-04,Phase 4,Recruiting,1.0,885.0
NCT100073,Salbutamol,Asthma,Astrazeneca,2022-01-12,2024-12-20,Phase 4,Terminated,1.0,1073.0
NCT100074,Remdesivir,Covid-19,Moderna,2023-01-31,2025-06-18,Phase 3,Recruiting,1.0,869.0
NCT100075,Salbutamol,Diabetes,Sanofi,2022-06-20,2024-12-13,,Terminated,0.875,907.0
NCT100076,Metformin,Breast Cancer,Astrazeneca,2023-11-23,,Phase 4,Recruiting,0.875,
NCT100077,Metformin,Breast Cancer,Moderna,2023-03-09,2025-02-22,Phase 3,Withdrawn,1.0,716.0
NCT100078,Remdesivir,Breast Cancer,Sanofi,2024-07-02,2025-03-10,Phase 4,Completed,1.0,251.0
NCT100079,Salbutamol,,Novartis,2023-01-10,2025-01-18,Phase 3,Recruiting,0.875,739.0
NCT100080,Trastuzumab,Asthma,Sanofi,2023-09-04,,Phase 2,Completed,0.875,
NCT100081,Aspirin,Covid-19,Gsk,2020-09-08,2025-01-15,Phase 1,Withdrawn,1.0,1590.0
NCT100082,Remdesivir,Breast Cancer,Pfizer,2022-08-23,2025-03-24,Phase 3,Recruiting,1.0,944.0
