study_id,intervention_name,condition,sponsor,start_date,end_date,phase,status,completeness_score,study_duration_days,mapped_term,match_score,mapping_status
NCT100000,Aspirin,Covid-19,Sanofi,2022-09-20,2025-04-07,Phase 2,Withdrawn,1.0,930.0,Aspirin,100,mapped
NCT100001,Trastuzumab,Alzheimer'S Disease,Pfizer,2023-07-01,2024-09-05,,Terminated,0.875,432.0,Trastuzumab,100,mapped
NCT100002,Donepezil,Hypertension,Pfizer,2021-08-17,2025-05-24,Phase 1,Completed,1.0,1376.0,Donepezil,100,mapped
NCT100003,Remdesivir,Breast Cancer,Sanofi,2022-04-15,2025-05-20,Phase 1,Terminated,1.0,1131.0,Remdesivir,100,mapped
NCT100004,Aspirin,Breast Cancer,Pfizer,2023-09-10,2024-08-28,Phase 4,Completed,1.0,353.0,Aspirin,100,mapped
NCT100005,Donepezil,Covid-19,Moderna,2021-10-08,2025-07-25,Phase 1,Withdrawn,1.0,1386.0,Donepezil,100,mapped
NCT100006,Salbutamol,Covid-19,Astrazeneca,2020-09-19,2025-04-08,Phase 4,Withdrawn,1.0,1662.0,Salbutamol,100,mapped
NCT100007,Metformin,Asthma,Moderna,2023-12-13,2025-03-31,Phase 1,Withdrawn,1.0,474.0,Metformin,100,mapped
NCT100008,Remdesivir,Alzheimer'S Disease,Astrazeneca,2023-05-17,2025-07-29,Phase 2,Recruiting,1.0,804.0,Remdesivir,100,mapped
NCT100009,Salbutamol,Breast Cancer,Moderna,2021-06-17,2025-06-29,Phase 3,Withdrawn,1.0,1473.0,Salbutamol,100,mapped
NCT100010,Remdesivir,Breast Cancer,Gsk,2023-03-11,2025-02-17,,Terminated,0.875,709.0,Remdesivir,100,mapped
NCT100011,Aspirin,Alzheimer'S Disease,Moderna,2022-02-18,,Phase 3,Withdrawn,0.875,,Aspirin,100,mapped
NCT100012,Remdesivir,Diabetes,Moderna,2022-05-31,,Phase 3,Withdrawn,0.875,,Remdesivir,100,mapped
NCT100013,Donepezil,Hypertension,Astrazeneca,2022-08-01,2025-07-23,Phase 3,Recruiting,1.0,1087.0,Donepezil,100,mapped
NCT100014,,Hypertension,Novartis,2023-12-13,,Phase 4,Withdrawn,0.75,,Metformin,45,low_score
NCT100015,Aspirin,Alzheimer'S Disease,Pfizer,2023-03-08,2025-04-18,,Withdrawn,0.875,772.0,Aspirin,100,mapped
NCT100016,Aspirin,Diabetes,Moderna,2023-05-19,,Phase 2,Recruiting,0.875,,Aspirin,100,mapped
NCT100017,Remdesivir,Covid-19,Gsk,2022-02-14,2024-11-09,Phase 2,Terminated,1.0,999.0,Remdesivir,100,mapped
NCT100018,Salbutamol,Asthma,Pfizer,2021-11-03,2024-10-15,Phase 4,Completed,1.0,1077.0,Salbutamol,100,mapped
NCT100019,Metformin,Alzheimer'S Disease,Pfizer,2021-10-08,2025-06-08,Phase 4,Completed,1.0,1339.0,Metformin,100,mapped
NCT100020,Donepezil,Alzheimer'S Disease,Pfizer,2021-08-08,2024-11-26,Phase 3,Completed,1.0,1206.0,Donepezil,100,mapped
NCT100021,Remdesivir,Diabetes,Gsk,2022-04-12,2024-08-28,Phase 2,Completed,1.0,869.0,Remdesivir,100,mapped
NCT100022,Donepezil,Alzheimer'S Disease,Gsk,2024-04-12,2024-08-09,,Recruiting,0.875,119.0,Donepezil,100,mapped
NCT100023,Remdesivir,Hypertension,Pfizer,2021-06-23,2025-06-26,Phase 1,Recruiting,1.0,1464.0,Remdesivir,100,mapped
NCT100024,Metformin,Asthma,Sanofi,2022-03-22,2025-06-08,,Terminated,0.875,1174.0,Metformin,100,mapped
NCT100025,Metformin,Asthma,Moderna,2024-02-14,2024-10-31,Phase 4,Withdrawn,1.0,260.0,Metformin,100,mapped
NCT100026,Aspirin,Asthma,Gsk,2022-07-26,2024-12-28,Phase 1,Completed,1.0,886.0,Aspirin,100,mapped
NCT100027,Donepezil,Asthma,Novartis,2020-10-14,,Phase 2,Completed,0.875,,Donepezil,100,mapped
NCT100028,Trastuzumab,Covid-19,Pfizer,2023-07-26,2025-07-21,Phase 2,Completed,1.0,726.0,Trastuzumab,100,mapped
NCT100029,Aspirin,Asthma,Astrazeneca,2020-12-17,2024-10-02,Phase 3,Completed,1.0,1385.0,Aspirin,100,mapped
NCT100030,Trastuzumab,Asthma,Gsk,2022-02-27,2024-12-16,Phase 1,Withdrawn,1.0,1023.0,Trastuzumab,100,mapped
NCT100031,Aspirin,Covid-19,Novartis,2020-12-02,2024-09-26,,Terminated,0.875,1394.0,Aspirin,100,mapped
NCT100032,Salbutamol,Alzheimer'S Disease,Novartis,2020-12-27,2025-02-09,Phase 2,Terminated,1.0,1505.0,Salbutamol,100,mapped
NCT100033,Metformin,,Novartis,2020-12-15,2025-04-12,Phase 1,Recruiting,0.875,1579.0,Metformin,100,mapped
NCT100034,Salbutamol,Covid-19,Pfizer,2021-09-25,2025-01-17,Phase 3,Completed,1.0,1210.0,Salbutamol,100,mapped
